LEGAL_TYPE,count,mean_abs_error,median_abs_error,rmse,median_ape,p90_ape
LAND,261238,1059639.7318432564,194437.2184043486,9212224.93867712,0.0951881865774028,0.42585598776860856
OTHER,519,28387118.20989437,579208.3653799951,271857100.0355059,0.8142909203610493,12.378233512901492
STRATA,403000,249418.5508561752,111545.54334030015,1038961.9519303367,0.1847361335097235,0.5090594966797364
