model,status,rmse,mae,median_ape,robust_cap_p99_5,robust_rmse,robust_mae,start_time_utc,end_time_utc,duration_seconds
ridge,ok,10235097.767441895,1337699.7387326513,0.7602214491058384,24533950.000000186,2272766.6184154362,1135028.196117832,2026-03-01T00:24:34.595165+00:00,2026-03-01T00:24:38.739428+00:00,4.14
xgboost_or_lightgbm,missing_dependency,,,,,,,,,
