feature_group,group_importance,group_importance_share
other,0.5408274378656037,0.7042910452460824
property_location_structure,0.22246379198194283,0.28970286197518064
macro_temporal,0.003167027992781102,0.004124253503413577
local_history,0.0014450706431918315,0.001881839275323372
